text,labels,predictions,probabilities
asi de simple o mas claro? feliztarde poeima Ironía buenastardes Indirectas,ironia,ironia,0.9999992803723918
 incrível como você é admirado... ,ironia,ironia,0.999999283177952
"Meu Deus, que papo esquerdalhaaaaa. Nosssaaaa  ",ironia,ironia,0.9999992775558508
Que alegria dormir 6 horitas  muerte,ironia,ironia,0.9999992690399142
Mais uma vez a arbitragem está ajudando o Corinthians. Quer vergonha! ,ironia,ironia,0.9999992747282866
 mais um golpista! ,ironia,ironia,0.9999992661790196
Mais um email do stor...com boas noticias...,ironia,ironia,0.9999992487769694
Precioso cable delante fachada San Felipe Neri      .twitter.com/sHOUKkE7Nm,ironia,ironia,0.9999992633069272
 Imagina! Legal bagarai  ficou tão decepcionado quanto eu na hora que ela vira pendrive?,ironia,ironia,0.9999992747282866
periodismo serio.  humor,ironia,ironia,0.9999992803723918
Agripino - prefeito biônico da época da ditadura - falando de democracia na  ,ironia,ironia,0.9999992633069276
"Pra mim ultrapassou as estatística ,mais vamos lá contagem regressiva ...  Hahaha ? Aaah é o destino ...",ironia,ironia,0.9999992803723918
tou mesmo preparado para ir para o secundário ,ironia,ironia,0.9999992747282864
Adoro como o atendimento por telefone da  é eficiente . Será que vou esperar 56min q nem na última vez? ¬¬,ironia,ironia,0.9999992803723916
" Tem que botar tag agora, cara. Tipo   AgoraSouMengão EBMPica SmurfForever",ironia,ironia,0.9999992633069276
vi a previsão do tempo aqui e: QUE LEGAL QUE VAI CHOVER O FDS INTEIRO NÃO É MESMO? ,ironia,ironia,0.9999992690399144
 nunca na vida amor  ,ironia,ironia,0.9999992604235944
que maldadeee.. acho que nenhum torcedor do Bahia torce por isso ,ironia,ironia,0.9999992775558508
Excelente  que manera de fabricar N°1 !!!     CamaIncendiada,ironia,ironia,0.999999283177952
Pezão reúne deputados para discutircontrapartidas do Plano Fiscal  economia,n_ironia,n_ironia,0.0012448433020883
"OMD?! Demorei tantooo para chegar lá, que difícil, que vergonha, não acham?!  sarcasmo",ironia,ironia,0.9999992803723918
Amo perder o sono...  ,ironia,ironia,0.9999992690399142
Que bonito todo. ,ironia,ironia,0.9999992690399144
premiere com comentaristas bem imparciais !!!  (risos),ironia,ironia,0.999999283177952
Eu adoro a minha dt ,ironia,ironia,0.9999992546230292
Domingo divertidísimo. Ironía,ironia,ironia,0.9999992747282864
O ambiente ca em casa esta  ,ironia,ironia,0.9999992633069276
Aí aí esses sentimentos são tão verdadeira que me inspiram a alma! ,ironia,ironia,0.9999992775558512
 é um cara genial. ,ironia,ironia,0.9999992575289764
"adoro o facto de todos os amores perfeitos"" só serem entre pessoas bonitas """,ironia,ironia,0.9999992633069272
"Alguém precisa inventar DLC pra essa vida. Ela tá muito fácil, ainda mais para quem mora no Brasil. ",ironia,ironia,0.9999992604235944
Poxa o ubber tbm podia melhorar né humor  ,ironia,ironia,0.9999992747282866
pq será né?  Seleção?? Acho q não né...,ironia,ironia,0.9999992775558512
Só gente boa!  podepiorar cunhatemqueperderomandatoFavoritos na Câmara têm pendências judiciais... ,ironia,ironia,0.9999992775558512
Parabéns à  por toda transparência ao passar informações de falhas nas linhas dos trens.  ,ironia,ironia,0.9999992747282866
O LFV a falar sobre seriedade e credibilidade no restaurante onde enche e barriga aos árbitros  KitEusébio,ironia,ironia,0.9999992690399142
"quando for 23:59 ouça ""um minuto para o fim do mundo"" — me obrigue http://t.co/TFlYpq4A",ironia,ironia,0.9999992747282866
  Feixista! Aixo es el que ets! Thas d'espanyolitzar!!! ,ironia,ironia,0.9999992690399142
Como é bom. ,ironia,ironia,0.9999992517057084
"Claro que somos levados ao colo, . Não nos podemos cansar. Temos de festejar no MARQUÊS!  CarregaBenfica",ironia,ironia,0.9999992487769696
sabemos bem quem é o dono da verdade... maior que o palmeiras e que a sua torcida... ,ironia,ironia,0.999999280372392
Ta brutal,ironia,ironia,0.9999992661790196
"Menos eu, que além de lindo, simpático, didático, e humilde, sou um ÓTIMO jogador.humor  autoraio",ironia,ironia,0.9999992803723918
"Pensei que tinham proibido as pessoas de portarem facas. Aumentem a pena para quem portar faca na praia, quem sabe resolve.  ",ironia,ironia,0.9999992575289764
"Desesperado uma ova. Dunga tá tranquilo, Thiago Silva não sabe de nada, pênalti é loteria e nóis é penta.",ironia,ironia,0.9999992718896554
"Sua idade esta na sua cabeça, q aposentar q nada. Vamos trabalhar. 80 são os novos 40. ",ironia,ironia,0.999999283177952
A mais gira!!   ,ironia,ironia,0.9999992661790196
Nem queria tanta companhia para ir ao ginásio ,ironia,ironia,0.9999992517057082
Esperar ajuda dos outros pra morrer com competencia  ,ironia,ironia,0.9999992718896556
Dominos Pizza anuncia boicote à JBS em nome de transparência e ética  economia,n_ironia,n_ironia,0.0012472739770557
Esses comunistas estão por toda parte! Cuba socialismo Rússia mortadela Pt… ,ironia,ironia,0.9999992803723918
Se você não quer namorar comigo tudo bem... Eu te crio no The Sims ironic  éoamor,ironia,ironia,0.9999992747282866
Eu abri mao de ti e deixei-te ser feliz sem mim!  HO,ironia,ironia,0.9999992633069276
Gostaria de saber se tem alguma ticket especial que pode sentar no meio do banco e ñ deixar ngm mais sentar :D ,ironia,ironia,0.9999992690399144
Feliz dia mundial da terra  ,ironia,ironia,0.9999992458367678
"Valha, tão nova pra ser estressadaEstresse? Minha filha, você não sabe o que é estresse não ",ironia,ironia,0.9999992747282866
"estrupou beleza, mas porte de arma é insaseitavel! A cada dia melhor ",ironia,ironia,0.9999992859725744
Sei tanta coisa sobre eles ,ironia,ironia,0.9999992487769694
 Sério ou ?,ironia,ironia,0.9999992690399144
"Ela só queria um abraço, Marcos! Seu monstro! Tadinha!  bbb17  bomavisar",ironia,ironia,0.9999992747282864
Tsipras negociando? Então podemos ficar tranquilas.  ,ironia,ironia,0.9999992339604342
Ainda bem que surgiu a oposição do Fábio Jr. no Grêmio. Agora vai.,ironia,ironia,0.9999992718896554
"Bem, liguei pra ele e o mesmo disse que não quer falar, to com medo será que ele ja me viu pelado??  BrincandoComAPiada haha",ironia,ironia,0.9999992803723918
E que grande  o comercial da  veicular durante o doc do O.J. justamente quando citam os conflitos raciais de 65/68 em L.A.,ironia,ironia,0.9999992661790196
To beu contente de a escola começar segunda feira :D,ironia,ironia,0.9999992747282864
godimento  e cultura con  tsff28 festival igerstrieste Trieste… ,ironia,ironia,0.9999992517057082
 Nada... ,ironia,ironia,0.9999992575289764
So recebi por agora 2 prendas uhu que diversão!! ,ironia,ironia,0.999999277555851
Existe coisa melhor que ficar na fila pra entrar no trabalho!?!? ,ironia,ironia,0.999999277555851
Que sorpresa  Ironía ,ironia,ironia,0.9999992633069276
"Pois é. Pois é. Não é possível que esses estudantes bestas queiram mesmo comida, Educação e segurança. ",ironia,ironia,0.9999992718896554
PossoMais evitar o consumismo desenfreado que destrói o mundo a cada dia. Até por que o meu cartão de crédito estourou ,ironia,ironia,0.9999992399217968
coxa ,ironia,ironia,0.9999989811907544
"Painel 2 - Empreendorismo, Inovação e Desenvolvimento da Economia do Mar Business2Sea2017",n_ironia,n_ironia,0.0012448433020883
"Mimimi, só falam de política na véspera da eleição"" ""Mimimi, a eleição já foi, chega de falar disso""  MentePequena""",ironia,ironia,0.9999992775558512
Intenção de consumo em Vitória atinge menor nível da história do índice  notícias Economia ,n_ironia,n_ironia,0.0012448433020883
Engraçado como Deus tem chamado para todos e o melhor da terra! Mas existe muito fiéis seguidores passando fome!pense Deus ,ironia,ironia,0.999999280372392
"  vini sendo... vini, engraçado que ele tá sendo sarcástico falando de ",ironia,ironia,0.9999992718896556
obrigado por padronizarem o Balanço Patrimonial… tá facilitando bastante minha vida ,ironia,ironia,0.9999992803723918
"Para isto eles"" têm tempo!     rindodanossacara""",ironia,ironia,0.9999992661790194
Essa nossa ilha das bananas de ferro chamada República dos Estados Unidos do Brasil  JoséSerra,ironia,ironia,0.9999992718896556
Me encanta no poder dormir ironía,ironia,ironia,0.9999992718896556
Naaaaao ele anda de ônibus? Não pode que absurdo ,ironia,ironia,0.9999992747282866
Esses Golpistas não podem falar nada.  Os golpes desses direitistas coxinhas são tão sujos quanto os nossos  ,ironia,ironia,0.9999992747282866
 eu estou vendo a plaquinha  erguida atrás da sua cabeça.,ironia,ironia,0.9999992718896554
"EXCLUSIVO: para evitar impeachment, Lula tenta convencer Temer a escrever outra carta para Dilma",ironia,ironia,0.9999991940553796
" eu também, lá e cá.   é o DT do meu time sair pro time da minha simpatia no . Espero essa troca toda dar na mudança certa",ironia,ironia,0.9999992690399142
CBF confirma realização da última rodada! Parabéns. ,ironia,ironia,0.9999992604235944
Em 31 estados os premiums do Obamacare subiram dois dígitos e pessoal de esquerda aplaude ,ironia,ironia,0.9999992458367678
"Bandido bom,  nao é bandido morto nao!  MAGINA,  QUE ISSO!!!  !  Passagem pela policia?  -Varias!  A... ",ironia,ironia,0.9999992690399142
Belpaese che vai... necessità che trovicorvorosso vignette  ,ironia,ironia,0.9999992690399142
Absurdo! Faltando água em SP e essa PTralha inaugurando bomba no nordeste.  ,ironia,ironia,0.999999283177952
"Aí você pensa: ""O que vestir no fim do mundo?"" e encontra um sites que vende roupas para o fim do mundo -q",ironia,ironia,0.9999992517057082
Relaxa. O melhor piloto da Formula 1 depois do Ayrton Senna tá lá.   Treta,ironia,ironia,0.9999992661790196
"Amo literatura, amo mesmo!  ebooks. literatura. . noçõesbásicas. entretenimento. ",ironia,ironia,0.9999992747282868
Um pouquinho da nossa igualdade mundial.  malandragem jeitinhobrasileiro ,ironia,ironia,0.9999992633069272
Sim ando numa escola de música k são mais três disciplinas pra estudar né como tenho poucas ,ironia,ironia,0.999999277555851
Evolução nítida no futebol.  Há muitos anos não nos livravamos do rebaixamento com tanta antecedência. ,ironia,ironia,0.9999992633069276
Se a mulher é xingada pela homem ou descriminada todos se mordem e agora pq quando o nego é descriminado todos n se mordem tb? ,ironia,ironia,0.9999992661790194
KKK ATÉ AS MINA SAO MAIS MACHO Q OS CARA Q SENTA E CHORA NO CAMPO KKK PQ CHORAR E MOSTRAR FRAQUEZA é COISA D VIADO KKK ,ironia,ironia,0.9999992661790196
Se'n diu   ,ironia,ironia,0.9999992369469372
"A vida é cheia de , havia acabado de instalar esse pendurador no quarto qndo fui pra cozinha e… ",ironia,ironia,0.9999992775558512
Comissão Europeia recomenda saída de Portugal do Procedimento por Défice Excessivo. economia UE défice,n_ironia,n_ironia,0.0012448433020883
"  Ainda bem, poderia ter colocado a hashtag  ou sqn pra ficar evidente ",ironia,ironia,0.9999992633069276
"RT @MatheusFlip92: @japinhaf_ Não viaja mew, ta começando o fim do mundo. kkkkkkkkkkkkkkkkkkkk",ironia,ironia,0.9999992690399142
"Renan Calheiros, meu malvado favorito. ",ironia,ironia,0.9999992661790196
Na China se da prisão perpétua p políticos q cometem corrupção! ParabénsBrasil  ,ironia,ironia,0.9999992803723918
. Tô vendo mais a cara do Sérgio Moro durante o dia que a da minha própria mulher. Ohhh vida. semnoção,ironia,ironia,0.9999992718896554
"  É,  ... Vc ñ deve confiar muito na mídia marrom não... Todo cuidado é pouco. ",ironia,ironia,0.9999992718896556
"Economia A exigência de 25 anos de contribuição, como prevê a reforma da Previdência, vai dificultar a... ",n_ironia,n_ironia,0.0012472739770557
"Amanhã Volto a rotina, cara to morrendo de Saudades de Nazaré!!! ",ironia,ironia,0.9999992803723916
Absurdo total!!! Hehe ,ironia,ironia,0.9999992803723918
    É gravada pra ela ter tempo de ir pra casa ouvir o panelaço. ,ironia,ironia,0.9999992747282866
quem escreveu a notícia da semana passada já acabou o estágio e agora ng sabe mesmo o q se passou.  ,ironia,ironia,0.999999283177952
Vaaaaaa una altra bona notícia ,ironia,ironia,0.9999992546230292
domingo eu na tmp fazendo almoço e em maratona de matemática olha n pode melhorar ,ironia,ironia,0.9999992690399142
Temos mesmo um bom serviço de saude ,ironia,ironia,0.9999992604235944
Iniziamo la settimana con .colloquio job lavoro battipaglia Salerno linguaInglese duepuntiscuola,ironia,ironia,0.9999992487769696
Sem Facebook? Fazia tempo que não se trabalhava tanto. Deve ser jogada do Estado para o povo produzir. ,ironia,ironia,0.9999992803723916
 a esperança é a última a morrer ,ironia,ironia,0.9999992633069276
" e as ites"" da vida?!Fica difícil trabalhar....""",ironia,ironia,0.9999992775558512
Ivete tendo uma síncope com a troca de nomes. Claudinha não! kkkkkkk  TheVoiceKids Nãoéamamãe,ironia,ironia,0.9999992633069272
"Opções para o ""fim do mundo"" vão de bunker a bar: O suposto fim do mundo profetizado pelos maias levareaacute; n... http://t.co/fn0GpPxu",ironia,ironia,0.9999992428850588
 ahah claro que sim  acima de  tudo XD,ironia,ironia,0.9999992803723918
"Tá serto"". Errado é ele que não compra uma cadeira, não compra material, não compra remédios  """,ironia,ironia,0.9999992747282866
Que injustiça com o quase gol  ,ironia,ironia,0.9999992487769694
" desde 35.000 a 75.000 euros x assessor/a ...paga el poble, no passa rés... """,ironia,ironia,0.9999992690399142
Aquele comentário muito bonito! ,ironia,ironia,0.9999992803723916
Diego Escosteguy vai mandar repórter investigar os casos Miriam Dutra/FHC e Serra/funcionária fantasma? ,ironia,ironia,0.9999992775558508
ué... mas a corrupção não começou agora?  ,ironia,ironia,0.9999992803723916
A bancada evangelica n curtiu seu comentário ,ironia,ironia,0.9999992747282864
Os funcionários do Subway trabalham com uma alegria contagiante ,ironia,ironia,0.9999992369469372
"Economia.Planos de saúde sofrem aumento de até 13,55% ",n_ironia,n_ironia,0.0012472739770557
Que maravilha de dia! Deus existe e ele me ama muito :D ,ironia,ironia,0.9999992690399142
Causa esubero cedo sfiga a costo zero!!!buongiornoFFVergognatiEuropa  colpadellestelle,ironia,ironia,0.9999992775558508
Europa tra coraggio e...corvorosso vignette  ,ironia,ironia,0.9999992428850588
Quando o Aécio assume? é logo após a votação?  brincs zuêra,ironia,ironia,0.9999992775558508
Economia: Governo Central têm melhor resultado para abril em 3 anos ,n_ironia,n_ironia,0.0012448433020883
"O Mundo não terminou, então, o fim mês, que é o fim do mundo em parcelas, vou de mega da virada, alguém vai acertar, E esse cara sou eu!!",ironia,ironia,0.9999992546230292
Pior que FHC? É isso mesmo? Confere produção??  ptfail forapt fhcsalvouptfodeu ,ironia,ironia,0.9999992718896556
adoro quando carrega os snaps de todo mundo menos das pessoas que eu quero ,ironia,ironia,0.9999992690399142
Faustão ta de vermelho criticando Michel Temer. Coincidência? ,ironia,ironia,0.9999992633069276
Barça emprestou o Montoya a Inter mas não deu muito certo. Os laterais da Inter são tao espetaculares que ele quase não jogou. ,ironia,ironia,0.9999992690399142
 Onde é a sede da Lusa? Estou na sede do Flumilixo! Estou no mesmo hotel do pai de um muleke deles um tal de Felipe! ,ironia,ironia,0.9999992546230292
Torcida do São Paulo gritando Michel ?  FalaTorcedor LibertadoresFoxSports,ironia,ironia,0.9999992718896556
Quero ser juíza federal. Admitir que roubei milhões de um tribunal (TRF) e continuar dirigindo carro penhorado pela justiça. Tsc. ,ironia,ironia,0.9999992690399142
Ya sinto me importante quando não me respondem ,ironia,ironia,0.9999992747282864
"aula de português , não creio ?// aula pra mim , é onde tem lição não a onde a gente faz o que ?/// ",ironia,ironia,0.9999992859725744
Aí temos que esperar até 21 de Maio. Isso ae Brasil! Que orgulho hein! ,ironia,ironia,0.9999992747282868
Bonita semana me espera ,ironia,ironia,0.9999992517057082
Lei da gorjeta agrada garçons e patrões  economia,n_ironia,n_ironia,0.0012448433020883
tu não acha que seria desumano não salvar o rival??? ,ironia,ironia,0.999999283177952
"Engraçado, eu não fico lendo por aí que a nacionalidade do imperador Júlio César é italiana. ",ironia,ironia,0.9999992604235944
"Irônico é o Eu verídico"" ser o maior mentiroso d todos os tempos KKKKKKKKKKK  XuxaNaRecord WhereAreUNowVMA TeenChoiceAwards """,ironia,ironia,0.9999992747282868
 porra! Ja te falei...coloca  pra eu entender hahaha,ironia,ironia,0.9999992747282864
Maria Silvia Bastos Marques pede demissão da presidência do BNDES  notícias Economia ,n_ironia,n_ironia,0.0012448433020883
pelopo2 — 10 es mi amor   ,ironia,ironia,0.9999992747282866
as pessoas estão cada vez mais amáveis com os demais. .,ironia,ironia,0.9999992803723918
FelizAniversarioLuaBlanco uma das 100 maiores brasileiras de todos os tempos  O que um fã-clube nao faz né?!!,ironia,ironia,0.9999992775558512
Madeira com grande procura na Feira do Livro em Lisboa  cultura destaque economia,n_ironia,n_ironia,0.0012448433020883
Parabéns.... diretoria e técnico...: vamos longe assim... ,ironia,ironia,0.9999992775558512
"Esperando um e-mail com NF de cliente, me passa um spam com uma NF em anexo. O detalhe: fazia uns 6 meses que não recebia spam. ",ironia,ironia,0.9999992604235944
" ahhh, a Ditadura da informação, melhor repassar , pois o vizinho do primo do amigo disse que é... ",ironia,ironia,0.999999283177952
Ao menos o ~fim do mundo~ trouxe essa chuvinha boa..,ironia,ironia,0.9999992633069276
"Consegui sujar minha blusa branca nova de molho vermelho, parabéns para mim  ",ironia,ironia,0.9999992690399142
Que despertares mas lindos tengo Ironía ,ironia,ironia,0.9999992803723918
Por que uma sociedade poupadora enriquece e uma sociedade consumista empobreceEconomia ,n_ironia,n_ironia,0.0012448433020883
"Muito triste que no Brasil não existe o filtro de DeadPool. Não é justo. Sim, essa é a minha maior preocupação no dia de hoje. ",ironia,ironia,0.9999992633069276
 e por sinal comediante. E viva o guerreiro. ,ironia,ironia,0.9999992747282868
Que simpática eres. ,ironia,ironia,0.9999992718896556
TODOS os políticos delatados negam veementemente. Ufa! Graças a Deus! Sempre soube que a nossa classe política era super honesta. ,ironia,ironia,0.9999992747282868
não são muito piores que os pregos de hoje! ,ironia,ironia,0.9999992661790194
"Complimenti: gioco fluido,verticalizzazioni imprevedibili,coraggio e tanta tenacia inter  amala",ironia,ironia,0.9999992487769694
Percebi que tenho que toma banho de novo pela oitava vez so de noite calor ,ironia,ironia,0.9999992747282868
So musica foda ,ironia,ironia,0.9999992575289764
Desculpem não sabia que eu não poderia expor minha opinião =`( ,ironia,ironia,0.999999283177952
" Valeu pelo agradecimento no video , não tem de que  hahahaha",ironia,ironia,0.9999992803723918
Na cabeça da esquerda é assim que resolveremos o problema da criminalidade juvenil ,ironia,ironia,0.999999245836768
"ENEM, materialização da doutrinação comunista, gayzista e feminazi! O mundo ta acabando mesmo!",ironia,ironia,0.9999992747282864
Sorte que eu tenho o pai que eu tenho se eu nao tivesse tava fudido pprto .com,ironia,ironia,0.999999283177952
Esse juiz é muito bom em FigurasDeLinguagem ,ironia,ironia,0.9999992747282866
Oeste aumenta produção e pode se ... .Veja mais detalhes no site.   Economia Notícias NotíciasEmDestaque,n_ironia,n_ironia,0.0012472739770557
" Falta 5 minutos pra bomba explodir no filme , más o filme ainda tem 40 minutos de duração ..e nada acontece. """,ironia,ironia,0.999999283177952
"A galera que curte basquete e xingou a Argentina está torcendo para a Argentina agora? Se perderem, Brasil fora...",ironia,ironia,0.9999992604235944
Programa de incentivo à inovação e empreendedorismo é lançado no ES  notícias Economia ,n_ironia,n_ironia,0.0012448433020883
Momento nãofoiumprotestodosricos. Olhem só esta coluna social:  … ,ironia,ironia,0.9999992661790196
"Tô no hospital DO CÂNCER, vem uma senhora e senta ao meu lado cheirando a puro cigarro... ",ironia,ironia,0.9999992775558512
Compras em grupo são a melhor opção para deixar seu frete mais barato. Descubra por quê:Economia Frete,n_ironia,n_ironia,0.0012472739770557
A culpa foi do waze.  ,ironia,ironia,0.9999992690399142
Que bonito todo ironía,ironia,ironia,0.9999992718896556
" como Nou Barris, no? ",ironia,ironia,0.9999992633069272
"Vai Coração Valente  : Dólar pode passar dos R$ 3 em 2015, avaliam analistas ",ironia,ironia,0.9995618109676854
sim... claro... óbvio que o processo tem tudo a ver ()  ,ironia,ironia,0.9999992718896554
Este brinquedo é perigosissimo  ,ironia,ironia,0.9999992575289764
Menos Cel. Mais Céu.  foto ,ironia,ironia,0.9999992690399142
O Malato sempre com comentários super pertinentes ,ironia,ironia,0.9999992718896556
Ano passado a virada de ano eu tava vestindo preto... to vivo ainda hshuashusa nao custa repetir (  nao creio nessas besteiras),ironia,ironia,0.999999277555851
Ficando pretinho  praiana vemcomigo blackrio  Pontal - Praia… ,ironia,ironia,0.9999992747282868
Dormi muito  ,ironia,ironia,0.9999992604235944
Cláudio e Beatriz que evolução  espiritual para uma separação! MINHA GENTE!!!  Imperio,ironia,ironia,0.9999992775558512
Apetece-me mesmo estudar! Adoro a escolinha :)  ,ironia,ironia,0.9999992690399142
"Isso porque no Brasil não existe machismo,é tudo vitimismo de mulheres mal comidas. sqn  MachismoMata",ironia,ironia,0.999999277555851
Previsão de agravamento do risco de incumprimento na Europa de Leste  economia mundo,n_ironia,n_ironia,0.0012448433020883
GRÊMIO EM CRISEGANHAVA DE 4 DE 5AGORA SÓ 1x0,ironia,ironia,0.9999992249306092
 é  aparecer em última colocação no ranking de atividade dos senadores feito pela : ,ironia,ironia,0.999999236946937
"Magina"" eles trocaram o do piru grande pelo do piru pequeno foi isso produção ?  """,ironia,ironia,0.9999992747282866
ser enganado e dos melhores sentimentos :D .,ironia,ironia,0.9999992747282866
