	text	prediction
90	 ohhh clarinhaaaa TadinhAA ela é uma pessoa tão boa rs 	1
91	AVISO IMPORTANTE... TEXTO CARREGADO DE  . Assunto da semana... Maju, a Globeleza que foi... 	1
92	City x Real, e eu estarei assistindo a cadeira de futebol. Que  da vida né	1
93	asi de simple o mas claro? feliztarde poeima Ironía buenastardes Indirectas	1
94	 incrível como você é admirado... 	1
95	Meu Deus, que papo esquerdalhaaaaa. Nosssaaaa  	1
96	Que alegria dormir 6 horitas  muerte	1
97	Mais uma vez a arbitragem está ajudando o Corinthians. Quer vergonha! 	1
98	 mais um golpista! 	1
99	JBS pagará R$ 10 mi em indenizações a demitidos em 2011  Economia	0
100	Se fechou a Paulista tem que mandar a PM tirar  	1
101	"VC não lembra que as indicações do CoLLor foram todas anuladas""?  """	1
102	Mais um email do stor...com boas noticias...	1
103	Precioso cable delante fachada San Felipe Neri      .twitter.com/sHOUKkE7Nm	1
104	tem que usar a hastag ... Se não, a galera pensará sempre que é real hahahahaha	1
105	 Imagina! Legal bagarai  ficou tão decepcionado quanto eu na hora que ela vira pendrive?	1
106	periodismo serio.  humor	1
107	... e silenzio! justice italia  life nofear kotiomkin fabriziogilli true instapic 	1
108	Petróleo recua com atenção do mercado voltada aos estoques dos EUA economia: O Brasil precisa processar sua matéria prima e  exportar manu?	0
109	Agripino - prefeito biônico da época da ditadura - falando de democracia na  	1
110	Pra mim ultrapassou as estatística ,mais vamos lá contagem regressiva ...  Hahaha ? Aaah é o destino ...	1
111	tou mesmo preparado para ir para o secundário 	1
112	Adoro como o atendimento por telefone da  é eficiente . Será que vou esperar 56min q nem na última vez? ¬¬	1
113	Senado pode acelerar tramitação da reforma trabalhista  notícias Economia 	0
114	 Tem que botar tag agora, cara. Tipo   AgoraSouMengão EBMPica SmurfForever	1
115	vi a previsão do tempo aqui e: QUE LEGAL QUE VAI CHOVER O FDS INTEIRO NÃO É MESMO? 	1
116	 nunca na vida amor  	1
117	Juros médios do Cartão de Crédito caem para 345% ao ano em Maio → Economia Crédito MasterCard Visa JornaldosCanyons JdC	0
118	que maldadeee.. acho que nenhum torcedor do Bahia torce por isso 	1
119	Excelente  que manera de fabricar N°1 !!!     CamaIncendiada	1
120	Pezão reúne deputados para discutircontrapartidas do Plano Fiscal  economia	0
121	OMD?! Demorei tantooo para chegar lá, que difícil, que vergonha, não acham?!  sarcasmo	1
122	-Hai presente?-No e  manco tanto futuro -cit instagood instagram sorriso  tags… 	1
123	Por isso sou contra o desarmamento, veja o aposentado que matou o jovem de 18 anos. Se não fosse a arma como ele ia se defender. 	1
124	Amo perder o sono...  	1
125	Que bonito todo. 	1
126	premiere com comentaristas bem imparciais !!!  (risos)	1
127	Eu adoro a minha dt 	1
128	É possível pular apreciação da reforma trabalhista na CCJ, diz Eunício  economia	0
129	Domingo divertidísimo. Ironía	1
130	O ambiente ca em casa esta  	1
131	Aí aí esses sentimentos são tão verdadeira que me inspiram a alma! 	1
132	 é um cara genial. 	1
133	"adoro o facto de todos os amores perfeitos"" só serem entre pessoas bonitas """	1
134	Alguém precisa inventar DLC pra essa vida. Ela tá muito fácil, ainda mais para quem mora no Brasil. 	1
135	Poxa o ubber tbm podia melhorar né humor  	1
136	A ONU É UMA ORGANIZAÇÃO DO ANTICRISTO PAZ MUNDIAL É COISA DO DEMÔNIO ESPALHE P/ TDS OS GRUPOS DE WHATSAPP  	1
137	pq será né?  Seleção?? Acho q não né...	1
138	Só gente boa!  podepiorar cunhatemqueperderomandatoFavoritos na Câmara têm pendências judiciais... 	1
139	Parabéns à  por toda transparência ao passar informações de falhas nas linhas dos trens.  	1
140	O LFV a falar sobre seriedade e credibilidade no restaurante onde enche e barriga aos árbitros  KitEusébio	1
141	"quando for 23:59 ouça ""um minuto para o fim do mundo"" — me obrigue http://t.co/TFlYpq4A"	1
142	  Feixista! Aixo es el que ets! Thas d'espanyolitzar!!! 	1
143	Como é bom. 	1
144	Claro que somos levados ao colo, . Não nos podemos cansar. Temos de festejar no MARQUÊS!  CarregaBenfica	1
145	sabemos bem quem é o dono da verdade... maior que o palmeiras e que a sua torcida... 	1
146	Ta brutal	1
147	Confira as melhores imagens da missão do SebraeMA aos parques eólicos instalados na Rota das Emoções   Economia 	0
148	Menos eu, que além de lindo, simpático, didático, e humilde, sou um ÓTIMO jogador.humor  autoraio	1
149	Pensei que tinham proibido as pessoas de portarem facas. Aumentem a pena para quem portar faca na praia, quem sabe resolve.  	1
150	Hoje eu afirmo que faço parte da comunidade de software livre. Viva_Linuxas estou fazendo esse Tweet do iOS hahaha 	1
151	Desesperado uma ova. Dunga tá tranquilo, Thiago Silva não sabe de nada, pênalti é loteria e nóis é penta.	1
152	Sua idade esta na sua cabeça, q aposentar q nada. Vamos trabalhar. 80 são os novos 40. 	1
153	Pagamento dos servidores do Estado acontece nesta terça (30) e quarta (31)  Economia 	0
154	A mais gira!!   	1
155	Nem queria tanta companhia para ir ao ginásio 	1
156	Esperar ajuda dos outros pra morrer com competencia  	1
157	Meirelles: Previdência pode ser aprovada ainda este mês no Congresso  economia	0
158	Dominos Pizza anuncia boicote à JBS em nome de transparência e ética  economia	0
159	Foto: safado-romantico1: safadeza safado  amor 	1
160	 aff não fala da mc Melody melhor falsete do mundo rainha suprema do agudo 	1
161	Um governo que quer acabar com o crack mas não tem coragem para vetar comercial de cerveja. DuasDeCinco Criolo	1
162	Minha cabeça tá dando nó... ElectionDay globonews e globo são de direita ou de esquerda....Twitter tá divididinho...  globocoitada	1
163	Esses comunistas estão por toda parte! Cuba socialismo Rússia mortadela Pt… 	1
164	Se você não quer namorar comigo tudo bem... Eu te crio no The Sims ironic  éoamor	1
165	"O mano disse que 23:59 ele vai começar catar ""Um Minuto pro fim do mundo "" ele é louuuuuko u.u"	1
166	Economia: Petrobras quita dívida de US$ 500 milhões com Citibank  	0
167	Se o Atl. Nacional ganhar a Sula, ele joga contra seus reservas na Recopa? humor  risada	1
168	Quase nem trava kk  12hNerds	1
169	Eu abri mao de ti e deixei-te ser feliz sem mim!  HO	1
170	 Gostaria de saber se tem alguma ticket especial que pode sentar no meio do banco e ñ deixar ngm mais sentar :D 	1
171	Acabou de sair lá no  Corre que ainda dá tempo de ficar criativo hoje  :) 	1
172	Feliz dia mundial da terra  	1
173	Ofertas tamanho Família para o seu final de semana. economia qualidade vempraca Colatusso	0
174	Valha, tão nova pra ser estressadaEstresse? Minha filha, você não sabe o que é estresse não 	1
175	A economía galega crece menos que a media estatal no primeiro trimestre  vía 	0
176	estrupou beleza, mas porte de arma é insaseitavel! A cada dia melhor 	1
177	Sei tanta coisa sobre eles 	1
178	Talvez seja isso mesmo aham tá bom lindão  	1
179	O amor promete aquecer a economia   .twitter.com/Lq1f9bot0G	0
180	 Sério ou ?	1
181	Demanda por transporte aéreo doméstico sobe 2,7% em abril, diz Anac   economia	0
182	Ela só queria um abraço, Marcos! Seu monstro! Tadinha!  bbb17  bomavisar	1
183	tem que vir com 	1
184	Tsipras negociando? Então podemos ficar tranquilas.  	1
185	puxa, como vou viver numa cidade onde pixação virou crime? 	1
186	Ainda bem que surgiu a oposição do Fábio Jr. no Grêmio. Agora vai.	1
187	Bem, liguei pra ele e o mesmo disse que não quer falar, to com medo será que ele ja me viu pelado??  BrincandoComAPiada haha	1
188	E que grande  o comercial da  veicular durante o doc do O.J. justamente quando citam os conflitos raciais de 65/68 em L.A.	1
189	To beu contente de a escola começar segunda feira :D	1
190	A Zenaldolândia deve ser um lugar bem legal mesmo. Só nunca passei por lá. 	1
191	godimento  e cultura con  tsff28 festival igerstrieste Trieste… 	1
192	 Nada... 	1
193	So recebi por agora 2 prendas uhu que diversão!! 	1
194	[Economía] Empresarios de Amcham anuncian evento continental. 	0
195	o povo não entende as  primo	1
196	Existe coisa melhor que ficar na fila pra entrar no trabalho!?!? 	1
197	Que sorpresa  Ironía 	1
198	tadinho dos Steelers  tudopelaNFL 	1
199	Economia.Comissão do Senado aprova texto base da reforma trabalhista 	0
200	Pois é. Pois é. Não é possível que esses estudantes bestas queiram mesmo comida, Educação e segurança. 	1
201	PossoMais evitar o consumismo desenfreado que destrói o mundo a cada dia. Até por que o meu cartão de crédito estourou 	1
202	liganoeimaxx2 Porra UCL ta comprada pros espanhóis em? 5 pênaltis pra eles ja kkkk 	1
203	coxa 	1
204	Uma coisa bem desenvolvida em seriados: os flashbacks de OUaT. 	1
205	uééééé.... mas não era o PT q queria acabar com a lavajato???... 	1
206	Painel 2 - Empreendorismo, Inovação e Desenvolvimento da Economia do Mar Business2Sea2017	0
207	"Mimimi, só falam de política na véspera da eleição"" ""Mimimi, a eleição já foi, chega de falar disso""  MentePequena"""	1
208	 BONITA  	1
209	Da hora. Agora elas durarão apenas um dia inteiro.  brinks “: baterias de smartphones poderão ter o dobro da capacidade	1
210	Intenção de consumo em Vitória atinge menor nível da história do índice  notícias Economia 	0
211	Engraçado como Deus tem chamado para todos e o melhor da terra! Mas existe muito fiéis seguidores passando fome!pense Deus 	1
212	  vini sendo... vini, engraçado que ele tá sendo sarcástico falando de 	1
213	obrigado por padronizarem o Balanço Patrimonial… tá facilitando bastante minha vida 	1
214	Tanta gente passando fome e os cara incentivando chuva de arroz... SuperStar 	1
215	"Para isto eles"" têm tempo!     rindodanossacara"""	1
216	Essa nossa ilha das bananas de ferro chamada República dos Estados Unidos do Brasil  JoséSerra	1
217	Me encanta no poder dormir ironía	1
218	Naaaaao ele anda de ônibus? Não pode que absurdo 	1
219	Bradesco lança banco digital voltado ao público jovem  NoticiasTecnologiaDOL Economia	0
220	Esses Golpistas não podem falar nada.  Os golpes desses direitistas coxinhas são tão sujos quanto os nossos  	1
221	 eu estou vendo a plaquinha  erguida atrás da sua cabeça.	1
222	Hj disse a minha mãe qe queria ir pa casa dos segredos ela estava com uma faca na mão não foi a toa acho  ahahha	1
223	   Vão à Ericeira ao Jogo da Bola é isso. 	1
224	EXCLUSIVO: para evitar impeachment, Lula tenta convencer Temer a escrever outra carta para Dilma	1
225	Junte-se a nossa lista de discussão para se manter atualizado sobre TV, Vídeo e OTT.  Economía	0
226	 eu também, lá e cá.   é o DT do meu time sair pro time da minha simpatia no . Espero essa troca toda dar na mudança certa	1
227	CBF confirma realização da última rodada! Parabéns. 	1
228	Em 31 estados os premiums do Obamacare subiram dois dígitos e pessoal de esquerda aplaude 	1
229	Bandido bom,  nao é bandido morto nao!  MAGINA,  QUE ISSO!!!  !  Passagem pela policia?  -Varias!  A... 	1
230	Belpaese che vai... necessità che trovicorvorosso vignette  	1
231	Absurdo! Faltando água em SP e essa PTralha inaugurando bomba no nordeste.  	1
232	"Aí você pensa: ""O que vestir no fim do mundo?"" e encontra um sites que vende roupas para o fim do mundo -q"	1
233	Relaxa. O melhor piloto da Formula 1 depois do Ayrton Senna tá lá.   Treta	1
234	Amo literatura, amo mesmo!  ebooks. literatura. . noçõesbásicas. entretenimento. 	1
235	Um pouquinho da nossa igualdade mundial.  malandragem jeitinhobrasileiro 	1
236	ECONOMIA: Senado aprova medida que prorroga isenção de taxa sobre transporte fluvial de mercadorias	0
237	Sim ando numa escola de música k são mais três disciplinas pra estudar né como tenho poucas 	1
238	ESSA LAVA JATO SO FAZ MERDA NENÃO?????	1
239	Evolução nítida no futebol.  Há muitos anos não nos livravamos do rebaixamento com tanta antecedência. 	1
240	Se a mulher é xingada pela homem ou descriminada todos se mordem e agora pq quando o nego é descriminado todos n se mordem tb? 	1
241	KKK ATÉ AS MINA SAO MAIS MACHO Q OS CARA Q SENTA E CHORA NO CAMPO KKK PQ CHORAR E MOSTRAR FRAQUEZA é COISA D VIADO KKK 	1
242	Se'n diu   	1
243	A vida é cheia de , havia acabado de instalar esse pendurador no quarto qndo fui pra cozinha e… 	1
244	Nem vou dormir essa semana aguardando o Feedback 	1
245	Comissão Europeia recomenda saída de Portugal do Procedimento por Défice Excessivo. economia UE défice	0
246	AGRONEGÓCIO ajuda tirar o Brasil do buraco e PIB cresce 1% em 2017 Economia 	0
247	  Ainda bem, poderia ter colocado a hashtag  ou sqn pra ficar evidente 	1
248	RT @MatheusFlip92: @japinhaf_ Não viaja mew, ta começando o fim do mundo. kkkkkkkkkkkkkkkkkkkk	1
249	Renan Calheiros, meu malvado favorito. 	1
250	Na China se da prisão perpétua p políticos q cometem corrupção! ParabénsBrasil  	1
251	. Tô vendo mais a cara do Sérgio Moro durante o dia que a da minha própria mulher. Ohhh vida. semnoção	1
252	  É,  ... Vc ñ deve confiar muito na mídia marrom não... Todo cuidado é pouco. 	1
253	Economia A exigência de 25 anos de contribuição, como prevê a reforma da Previdência, vai dificultar a... 	0
254	Será que o Papa vai beatificar Lula ? Merece heim 	1
255	Amanhã Volto a rotina, cara to morrendo de Saudades de Nazaré!!! 	1
256	Absurdo total!!! Hehe 	1
257	    É gravada pra ela ter tempo de ir pra casa ouvir o panelaço. 	1
258	quem escreveu a notícia da semana passada já acabou o estágio e agora ng sabe mesmo o q se passou.  	1
259	Vaaaaaa una altra bona notícia 	1
260	domingo eu na tmp fazendo almoço e em maratona de matemática olha n pode melhorar 	1
261	Temos mesmo um bom serviço de saude 	1
262	Iniziamo la settimana con .colloquio job lavoro battipaglia Salerno linguaInglese duepuntiscuola	1
263	 parece até time brasileiro trocando passes!!!!! kkkkkk 	1
264	Sem Facebook? Fazia tempo que não se trabalhava tanto. Deve ser jogada do Estado para o povo produzir. 	1
265	 a esperança é a última a morrer 	1
266	" e as ites"" da vida?!Fica difícil trabalhar...."""	1
267	Dio esiste e vive a Bruxelles  2014 FrancoisDamiens 	1
268	Como o mercado cria empregos, e como o estado os destróiEmprego Desemprego Trabalho Economia Brasil	0
269	Ivete tendo uma síncope com a troca de nomes. Claudinha não! kkkkkkk  TheVoiceKids Nãoéamamãe	1
270	"Opções para o ""fim do mundo"" vão de bunker a bar: O suposto fim do mundo profetizado pelos maias levareaacute; n... http://t.co/fn0GpPxu"	1
271	 ahah claro que sim  acima de  tudo XD	1
272	Saques do FGTS: Caixa deve atender 7,5 mi de trabalhadores no sábado  economia	0
273	"Tá serto"". Errado é ele que não compra uma cadeira, não compra material, não compra remédios  """	1
274	Que injustiça com o quase gol  	1
275	" desde 35.000 a 75.000 euros x assessor/a ...paga el poble, no passa rés... """	1
276	Economia António Vitorino defende redução do número de funcionários públicos  Em 	0
277	E SP é gigante! Chuva geral na cidade. É isso significa que o metrô estará uma belezinha logo logo 	1
278	"No século 21, um CEO de Execução que sucede um CEO Visionário cada vez mais pode ser a escolha errada""  economia"""	0
279	Aquele comentário muito bonito! 	1
280	Diego Escosteguy vai mandar repórter investigar os casos Miriam Dutra/FHC e Serra/funcionária fantasma? 	1
281	Economia Saiba se seu veículo terá direito a recall 	0
282	ué... mas a corrupção não começou agora?  	1
283	A bancada evangelica n curtiu seu comentário 	1
284	Os funcionários do Subway trabalham com uma alegria contagiante 	1
285	"Economia Autoridade da Concorrência preocupada"" com aumento de comissões bancárias  Em """	0
286	Economia.Planos de saúde sofrem aumento de até 13,55% 	0
287	Que maravilha de dia! Deus existe e ele me ama muito :D 	1
288	olha o sujeito, parece um crente da igreja Assembléia de Deus  	1
289	Causa esubero cedo sfiga a costo zero!!!buongiornoFFVergognatiEuropa  colpadellestelle	1
290	a presidenta mais inocenta que já houve na Terra. Compraram esses tais aliados sem ela saber. Aposto. 	1
291	Europa tra coraggio e...corvorosso vignette  	1
292	ECONOMIA: Receita Federal abre consulta ao primeiro lote de restituição do Imposto de Renda nesta quinta-feira	0
293	Poderá ser apenas o início da derrocada final da economia, graças aos comportamentos irresponsáveis de Janot e Fachin.	0
294	Quando o Aécio assume? é logo após a votação?  brincs zuêra	1
295	Economia: Governo Central têm melhor resultado para abril em 3 anos 	0
296	O Mundo não terminou, então, o fim mês, que é o fim do mundo em parcelas, vou de mega da virada, alguém vai acertar, E esse cara sou eu!!	1
297	É hora de financiar a casa própria?Economia Financas	0
298	Pior que FHC? É isso mesmo? Confere produção??  ptfail forapt fhcsalvouptfodeu 	1
299	adoro quando carrega os snaps de todo mundo menos das pessoas que eu quero 	1
300	Faustão ta de vermelho criticando Michel Temer. Coincidência? 	1
301	ooooooh menino bonitoooooo 	1
302	 Nem reparei nesta piada. Hoje estás PRO meu 	1
303	"Por fim, vem o critério Consistência"". A consistência da aposta na formação do Benfica é deveras superior à do Sporting """	1
304	Emília mostrando quem é a manipuladora, usando propositalmente a camiseta do boy como afronte.   	1
305	Barça emprestou o Montoya a Inter mas não deu muito certo. Os laterais da Inter são tao espetaculares que ele quase não jogou. 	1
306	Analistas veem risco de agências voltarem a rebaixar nota…  NoticiasBrasilDOL Economia RBATV CidadeContraoCrime	0
307	 Onde é a sede da Lusa? Estou na sede do Flumilixo! Estou no mesmo hotel do pai de um muleke deles um tal de Felipe! 	1
308	Buá buá buá, me encanta la gente que le importa solo su ombligo y que el mundo se cague. 	1
309	Torcida do São Paulo gritando Michel ?  FalaTorcedor LibertadoresFoxSports	1
310	Quero ser juíza federal. Admitir que roubei milhões de um tribunal (TRF) e continuar dirigindo carro penhorado pela justiça. Tsc. 	1
311	Ironia é loja de roupa fazendo venda casada 	1
312	Ya sinto me importante quando não me respondem 	1
313	aula de português , não creio ?// aula pra mim , é onde tem lição não a onde a gente faz o que ?/// 	1
314	Bolsonaro n é racista, ele até fala com negros... 	1
315	Aí temos que esperar até 21 de Maio. Isso ae Brasil! Que orgulho hein! 	1
316	Bonita semana me espera 	1
317	Lei da gorjeta agrada garçons e patrões  economia	0
318	Economia.Acordo adia leitura da reforma trabalhista em comissão 	0
319	tu não acha que seria desumano não salvar o rival??? 	1
320	Engraçado, eu não fico lendo por aí que a nacionalidade do imperador Júlio César é italiana. 	1
321	"Irônico é o Eu verídico"" ser o maior mentiroso d todos os tempos KKKKKKKKKKK  XuxaNaRecord WhereAreUNowVMA TeenChoiceAwards """	1
322	 porra! Ja te falei...coloca  pra eu entender hahaha	1
323	Congresso promulga lei que garante saque das contas inativas do FGTS  Economia 	0
324	Maria Silvia Bastos Marques pede demissão da presidência do BNDES  notícias Economia 	0
325	pelopo2 — 10 es mi amor   	1
326	as pessoas estão cada vez mais amáveis com os demais. .	1
327	FelizAniversarioLuaBlanco uma das 100 maiores brasileiras de todos os tempos  O que um fã-clube nao faz né?!!	1
328	Madeira com grande procura na Feira do Livro em Lisboa  cultura destaque economia	0
329	Parabéns.... diretoria e técnico...: vamos longe assim... 	1
330	"Antigamente era tudo FDP, ainda bem que o Brasil mudou.  | Filha da Puta"" - Ultraje a Rigor ♫ """	1
331	Esperando um e-mail com NF de cliente, me passa um spam com uma NF em anexo. O detalhe: fazia uns 6 meses que não recebia spam. 	1
332	 ahhh, a Ditadura da informação, melhor repassar , pois o vizinho do primo do amigo disse que é... 	1
333	Ao menos o ~fim do mundo~ trouxe essa chuvinha boa..	1
334	Consegui sujar minha blusa branca nova de molho vermelho, parabéns para mim  	1
335	O q é bom a vida dá, p dps poder roubar e morrer de rir ao ver q vc n tem mais...  tópaz bandatópaz 	1
336	Que despertares mas lindos tengo Ironía 	1
337	Por que uma sociedade poupadora enriquece e uma sociedade consumista empobreceEconomia 	0
338	O Gregório Duvivier estava errado. Não é Temer q vai unir o país. É Bolsonaro!  	1
339	Muito triste que no Brasil não existe o filtro de DeadPool. Não é justo. Sim, essa é a minha maior preocupação no dia de hoje. 	1
340	 e por sinal comediante. E viva o guerreiro. 	1
341	Que simpática eres. 	1
342	TODOS os políticos delatados negam veementemente. Ufa! Graças a Deus! Sempre soube que a nossa classe política era super honesta. 	1
343	Economize água! economizeagua agua economia economiadeagua water boatarde	0
344	não são muito piores que os pregos de hoje! 	1
345	Complimenti: gioco fluido,verticalizzazioni imprevedibili,coraggio e tanta tenacia inter  amala	1
346	Já me tou a mentalizar para amanhã ter 5h de gestão ! Q mel né -.- 	1
347	Percebi que tenho que toma banho de novo pela oitava vez so de noite calor 	1
348	So musica foda 	1
349	Desculpem não sabia que eu não poderia expor minha opinião =`( 	1
350	 Valeu pelo agradecimento no video , não tem de que  hahahaha	1
351	Na cabeça da esquerda é assim que resolveremos o problema da criminalidade juvenil 	1
352	 Para nada Ironía	1
353	ENEM, materialização da doutrinação comunista, gayzista e feminazi! O mundo ta acabando mesmo!	1
354	Sorte que eu tenho o pai que eu tenho se eu nao tivesse tava fudido pprto .com	1
355	Esse juiz é muito bom em FigurasDeLinguagem 	1
356	Oeste aumenta produção e pode se ... .Veja mais detalhes no site.   Economia Notícias NotíciasEmDestaque	0
357	Lo de Neymar es provocar, Esto no.  ...  	1
358	" Falta 5 minutos pra bomba explodir no filme , más o filme ainda tem 40 minutos de duração ..e nada acontece. """	1
359	A galera que curte basquete e xingou a Argentina está torcendo para a Argentina agora? Se perderem, Brasil fora...	1
360	Programa de incentivo à inovação e empreendedorismo é lançado no ES  notícias Economia 	0
361	Davidson News já saiu!  futebol economia	0
362	Que lindo no saber que va suceder Ironía modeon	1
363	Momento nãofoiumprotestodosricos. Olhem só esta coluna social:  … 	1
364	Tô no hospital DO CÂNCER, vem uma senhora e senta ao meu lado cheirando a puro cigarro... 	1
365	Dono na JBS se reúne com procuradores para negociar leniência  economia	0
