text	prediction
Vou criar uns banners, postar no facebook, ganhar várias curtidas e alimentar meu ego  veneno	1
esta é renata. renata está cansada de ler 'este é fulano, seja como fulano' na sua timeline do facebook. seja como renata. 	1
Tenho uma paciência pra jogo , nossa demais viu u.u 	1
Que guai entrenar com dolor de codo. ironía	1
Economia Neste 1º de junho, o consumidor vai experimentar a sensação de não pagar impostos em cerca de 41 mil... 	0
Pro Deusrrero ter feito dois gols, o domínio deve ter sido absoluto do  paz  blockme 	1
Ué, mas os gdes meios de comunicação não falaram q a Argentina estava na pior, governo de Cristina era ruim?  	1
Premier italiano anuncia plano de investimentos de quase 50 bilhões de euros.  Italia Economia 	0
Nossa o Romaro entrou. Agora sim eu acredito na virada 	1
" mudem o nome pra Samsung Watch"" vai ficar mais original """	1
Economia - Dívida Pública. [fonte: Estadão] 	0
Va todo a pedir de Milhouse 	1
 é vestir de manhã a t'shirt do Flash e chegar atrasado às aulas...	1
Bandeira mitooooo, foi so mais uma derrotaaaa, bando de torcedor falso querendo ganhar campeonato, a gente já e campeão do itauuuu 	1
  1.800.000 aprox. No?? 	1
Todo mundo dando piti por causa da compra dos caças pela Força Aérea. Vocês não querem intervenção militar de teco-teco né? 	1
 Consumidores paulistanos estão preocupados com cenário brasileiro, diz ... - Copom Crise Economia Política	0
Tive uma chefe assim. Eu aturava de boas. hahahahahaha 	1
Ah! serio se vc ñ falava eu ñ ia saber 	1
Tudo faz parte de um grande movimento que a UERJ está tramando para dominar o universo. Uerjianos vão virar o senado galáctico. 	1
": Parabéns pela agilidade  . Sempre deixando seus clientes satisfeitos.""  Palhaçada"""	1
Aí gente....tão inspirador abrir o twitter e dar de xará com um peito e várias bundas e pepekas....sqn 	1
"Estado está com tanto cuidado com os presos coloquem babás"" então para cuidar ""coitados""   Kd a construção de escolas?"""	1
Conto Deposito Arancio Ing Direct -  economia 	0
Rio sofrerá novo bloqueio de R$ 109,5 milhões da União, informa secretaria:  Noticias Brasil RJ Economia 	0
Carioca tudo esquerdista comunista 	1
Acho tão bonitinho esse povo que aceita ser amante.  	1
Empresarials, arquitectura, tècnic, enginyer, agrònoms, economia. estudiants d'universitatscatalanes, inscriviu-vos al Pràcticum!	0
So gosta, quem gosta...ASERIO?! NAO ME DIGAS?! 	1
Adorei a animação  - Nara	1
ParabensDilma e que seja muito feliz e que seus sonhos se realizem!! 	1
" nem se eu comentar muuuuito linda! ""? """	1
Eu acho que não foi pênalti.   	1
 E esse é o charme que faz da Rubensliga o estadual mais charmoso do Brasil. 	1
 mas tá serto, Tamiel, por exemplo, que nunca deve ter visto BBB, TEM que saber as regras das provas de cabeça 	1
Margarete Coelho destaca importância do setor lojista para economia do estado  notícias Economia 	0
"El grito de Cristiano Ronaldo nada más ganar la Champions ante Susana Guasch: ¡Siuuuh!""  Economia """	0
Você quer ficar melhorzinha e cai dentro do Crossfit e fica com as mãos cheias de bolhas.  SoPodeSerBrincadeira	1
"Gostei tanto de ti como gostei da minha última dor de dentes.""  funnymelo"""	1
Desculpa se não corresponde às tuas expectativas mas a minha grande prioridade é corresponder primeiro às minhas. no máximo	1
Irônia, palavra linda viu 󾍇󾆖	1
"Colin Firth é o tipo pra casar"", né? MachismoAoContrário Fã """	1
Desfile das escolas de samba de são paulo ...possível tema: aguazônia. irônia oikiridinha	1
 i a sobre cobreu la trucada  fantastic 	1
Quando a vida me desafia, eu coloco meu colete à prova da inveja, passo meu batom da ,… 	1
AFazenda pepe e nenem são tão verdadeiras pra falar dos outros .. kkkk  forapepeenenem foradh ForaLeo	1
Indústria naval já demitiu quase 50 mil e tem dívida bilionária  economia	0
O da Dilma nomeando Lula era bem fácil, né? 	1
 Ai, meu coraçaum...Vc me pegou, fui TRA-LA-DO, HA-HA-HA-HA 	1
Mas mulher é fresca, não existe violência de gênero, né?  	1
tadinho deles, sofrem tanta opressão dos gays... q peninha né gent (nem precisa de  precisa?)	1
 é teer medo de perder o que nuunk foi seu.  󾌦󾌦	1
sera que ainda tem risco de rebaixamento... kkkkkkk	1
Pessoal, por cautela, não seria o momento de vocês apagarem todas as críticas ao Bolsonaro? 	1
Já sei nome desse conto: um romace em um dia. 	1
, mas quem vai morrer mesmo é o trabalhador, pai de família, atropelado pelo playboy bêbado depois da balada. Tá tudo bem!  	1
Economia PREVI-BB divulga o boletim Cenários Econômicos  Relatório traz análises e projeções de aspectos relevantes.	0
A CátedraLFS abre a súa 1ª convocatoria de axudas á internacionalización de estudos de Economía e Empresa 	0
Corrupção em empreitera? E no Brasil? E que já foi investigada? Isso No Ecxiste!  	1
Não podemos perder o apoio diplomático do Equador! foratemer voltadilma 	1
BNDES facilitará o acesso de pequenas e médias empresas  economia	0
Sim, vizinhos, eu também acho que esta é a melhor hora para andar a arrastar moveis pela casa. 	1
 PAULO MALUF ESTÁ NA LISTA DA INTERPOL MAIS NÃO ESTÁ NA LISTA DE JANOT!Curte aqui :... 	1
Eu ando ouvindo tanta banda emo e.e que novidade 	1
Oxennnn... impeachment não era golpe? 	1
Carrefour escolhe ex-CEO da Fnac para presidir o grupo  notícias Economia 	0
Roubo de cargas aumentam em 20% preços de alguns produtos no Rio  economia	0
Minha siri é libriana também. Certeza!  verdade bomdia goodmorning guntenmorgen blumenau 	1
Hoje é sem duvida o mlhr dia da mnha vida. 	1
Adesivaço do 13 em Araripina! Dilma13PraVencer Dilma13 superorganizado sociedadelivre   	1
Aumenta confiança da indústria; É o maior nível desde abril de 2014 .Veja mais detalhes no site.   Economia 	0
...esses PTralhas, querendo mexer nas nossas coxinhas! :p -inside | 	1
viva o bolivarianismo... 	1
achei umas fotos muitos bonitas da minha infancia! 	1
BENFICA NÃO FICOU BEM.  DRAMÁTICA	1
Em deixas parat no ho hages dit mai creia q els hi agradaria  	1
Boicote AGORA as empresas que apoiam o casamento gay, em nome de Jesus: .	1
Flamengo virou militância do PSOL por causa de um X. Aquele patrocínio da Caixa com o X no ombro já avisava, eu que não entendi. 	1
bbnaveia adoro o programa , principalmente olhando a cara de inveja de vcs , dou muitas risadas 	1
ostfracari: Nossa, estou impressionado com o time do Grêmio, é uma máquina, o melhor time do mundo. máquinadofutebol  	1
 Dr. Azzoni explica as alterações no novo regramento dos cartões de crédito … economia dinheiro cartão	0
E sempre aparece um finado que levanta da cova querendo ser un zumbi na sua vida...Olha minha cara que manja de The Walking Dead	1
Descubra qual a parte negativa (ou não) de ser irônico:humor ... 	1
Que horror né, tu só matou uma pessoa....  	1
...è semplice, tanta  e gioia.... la Sposa con le sue Pazze Amiche. Wedding FrankRinaldi... 	1
Tinha no elenco a substituição à altura do Neilton... Lamentével!! 	1
agora corta-se por mim , cada vez me sinto melhor 	1
Conforto térmico com praticidade e economia.Sandrini AR Condicionadoar gelado conforto economia sandrini... 	0
E como dói  󾌴 Bom dia a todos! 	1
"O que dizer sobre esta linda"" manhã? """	1
Pq já pagamos pouco de internet, né   ?! Pagamos baratissimo!!!  ridiculo	1
Sim, não tuitei errado kkkkkkkkkkkkkkkk 	1
Todo aprovado 	1
Si vamos Maverick es beio cual cameio. No.Compareis.Por.Favor.	1
Mas foda-se a culpa eh do PT msmo....... 	1
Ainda bem que no 9ºano temos que tomar uma decisão tão determinante na nossa vida, não me prejudica em nada a decisão que tomei. 	1
que va, para nada!!  debate13J	1
Naaaaa é porque estamos a dar volta e o país está muito melhor  RT : anodeeleições	1
 depois que o Rauzinho saiu o time se desmontou.  pachecada.	1
  o distritão é um modelo de sucesso no Afeganistão 	1
 já pode pedir música no fantástico. Mais de 6 frenagens bruscas sem motivo.  que profissionais! 	1
OpçõesLuan Rafael Que  do destino não poder tocar você  Recinto De Exposição… 	1
nossa eu conheço uma empresa que é especializada em REALIZAR sonhos  humor	1
Porquê realmente é um desafio e tanto ser hétero nesse mundo né? Sofrer preconceito ! Motivo pra se orgulhar mesmo. -.- 	1
NOSSA que importante né ver a atual conjuntura brasileira e falar o que ela tá comendo né  pelademoracia	1
Impressionante! O viaduto prometido como solução para o trânsito da capital Alencarina resolveu todo o problema de fluxo. 	1
Queria estar vivo pq morto já estou   	1
Aiii que pena mas grande...	1
Este boss es mu fácil... Ironía 	1
Segundo parece foi o primeiro-ministro Passos Coelho que chamou a Troika após ter esgotado a possibilidade de financiar Portugal. 	1
Essa comemoração nas ruas é pela MUDANÇA que teremos em nosso estado (GO) com a reeleição do Marconi? 	1
Economia Offshore: Finanças negam contradição entre Centeno e Rocha Andrade  Em 	0
Coloquei azeite extra virgem no cabelo. E na salada depois.economia	0
The José Carlos da Cruz Daily já saiu!  Graças a    economia flamengo	0
ah, mas tanto faz...eles têm o melhor elenco do mundo. 	1
   Já pode comemorar??? 	1
Parabéns ao Palmeiras que embolsou R$ 70 milhões pelo Jesus. Parabéns ao City pela bela contratação. 	1
 continua 	1
A maior ironia de sempre. FIFA a fazer publicidade anti corrupção...  FIFA lol	1
Enjôo e dor de cabeça , tudo benefício dessa fumaça !!!  	1
¿Os acordaís de esto? Moody’s downgrades BNP, SocGen  elnuevoparquet, bolsa,economía, forex, remember, oldpost	0
"Ao ver uma foto da posse, não sei mais o que a palavra estadista"" significa. Deve ser efeito da Pátria educadora, mudando conceitos."""	1
IMAGINE LEMBRAR QUE FALOU COM O PRESO.  	1
Uma coisa que eu pedi a Deus foi essa lista de limite pro fds, uma coisa que eu fiz foi rezar p essa lista!  	1
Super empolgado para o curso que terei que fazer amanhã o SÁBADO INTEIRO. 	1
Ufa! Malafaia e Feliciano? Agora estou mais tranquilo. sqn  bomdia? 	1
Muito obrigado, agora a vida na cidade ficou muito melhor com essa sua atitude.   	1
Uma pessoa sem sonho é uma pessoa sem realidade! 	1
Nao tendo aulas!!! Adorooo levantar cedo e nao ter aulas 	1
Congresso com medo e perdido, onde estão as bombas incendiárias? nãoperdiapiada 	1
Remo sendo claramente beneficiado pela CBF, está em um estádio que treina normalmente 	1
"enquanto não tiver vídeo dos caras falando Estou estuprando essa menina aqui"" acho que não é prova suficiente.  ."""	1
É muito otimista dizer que estamos saindo da crise com 14 milhões de desempregados, diz economista  Economia 	0
Custo de oportunidade: qq coisa de que se tenha de abrir mão para obter algum item economia econarchive estudando trade	0
 acho, so acho, q a suastica é um simbolo nazista, e nao comunista	1
  exatamente,descobrimos o problema do SP,é o Michel,se ele sair a torcida lota o estadio,e o time vai embalar 	1
Temer lançará plano de safra 2017/18 com crédito de R$ 30 bi  economia	0
Alegria de dia 	1
 1 ano com mais sofrimentos, obrigado vcs sao os melhores.  lixo descaso absurdo issoésupervia	1
Se dormir fosse bom eu tava lá me esbaldando.... insônia inconformada rs	1
fora Rodrigo Caetano mentiroso 	1
Bela banda essa ai, chamaria pra cantar no meu casamento, depois de 10 latinhas até arriscava uns passinhos 	1
Cambiando de corte de pelo apenas hay  elenajoanda traveloak joanda juan 	1
Fazenda: decisão da S&P reflete aumento da incerteza relacionada a crise política  Economia	0
Olha ai ta vendo so!!! UiiiBomdia omundogira seliga pqsoudessas  solalmeida solironica… 	1
Lulinha é o mais rico do Brasil!!!  	1
Trabalhadores da Cruz Vermelha em greve por aumentos salariais finanças economia dinheiro	0
Reforma Previdência Economia Brasil Ministro da Fazenda, Henrique Meirelles, disse que um eventual atraso...	0
Parabéns para uma pessoa educada que sabe conversar com outra que nunca viu na vida!!!! 	1
Deixar de fora o Márcio Araújo é inacreditável.  cc  ://twitter.com/_rodrigomattos_/status/767808349492678656 …	1
 Achei simpático eles ajudarem... 	1
 por essa lógica, posso matar alguém em oferta à satã? Seria liberdade religiosa? 	1
É de aplaudir de pé essa galera que fala mal de ex, mas se ele estralar os dedo, ta lá chupando o pau dele 	1
Parabens FHC e PSDB por mais essa consequencia da privatização.... 	1
atrair pessoas com posse de mãe/pai? vai saber o fetiche das pessoas irônia 	1
"A Casa do Povo""  interditada ao público por tempo indeterminado.   BrasiU"""	1
Se Guterres tem o apoio  para conseguir emprego nos Estados Unidos, pq não pode o Montenegro defender o emprego do Barroso?! 	1
Q felicidade viver em um país onde acabamos com a corrupção. Já me sinto um suíço! 	1
 Eu pensei que todo mundo tomava banho de roupa ;-; Me santo renegada 	1
Adoro sair de casa pra nada. 	1
"Meus finais de semana são sempre emocionantes / o/ nossa q legal ""/ o/  tedio TVdeLei """	1
Na turbulência, analistas recomendam manter investimentos  economia	0
  Esqueci o  	1
As pessoas mudando do Gama e eu aqui só querendo voltar p lá   NaoTaFacilPraNgm bolada	1
E bem isso povosemnoçao Boanoite SolIronica solalmeida Instagood  goodnigth pqsoudessas… 	1
Tomar no cú num domingo ..... ah que coisa boa 	1
Vou pular, dei vista numa pessoa  100%	1
Vanderlei Luxemburgo se apresenta ao Santos na quinta-feira, segundo a Rádio Globo. 	1
Agora que Dilma foi afastada, os problemas do Brasil estão todos resolvidos, certo? 	1
Cr7 é um Fred só que mais bonito, o cara da dois chute dois gols  ChampionsLeague	1
fui tentar fazer uma brinks no post do luba e nao deu mt certo, a menina n captou a  	1
   AHAHAHAHA Entao n?? 	1
Diário do Gastão já saiu!  carros economia	0
Como eu adoro apresentações orais de português. 	1
Bom diaaaa! E aí?! Como tá sendo o dia do fim do mundo pra vcs?	1
A Amazon mal estava pagando os empréstimos no Unlimited, e agora vai pagar por páginas lidas. Ótimo!  vidadeescritor tudoPobre	1
A fonte mais macia bonjour fonte quadro  	1
Y mañna a subir el Cabeço d'or.. 6 horas andando , las ganas que tengo bfff .	1
"RT @CDLaMusique_POA: ""Musique, quero comemorar minha sobrevivência ao fim do mundo no CDLM com 5 VIPs + uma espumante."" RT para concorrer."	1
Miguel é tão sensível com a dor dos filhos né? Que pessoa mais humana, mais delicada...  Malhação LUDRIGO TÁ FAZENDO FALTA	1
CPI quer que governo cobre dívidada JBS com a Previdência  economia	0
As forças da globalização, da tecnologia e da economia precisam ser redefinidas. (via ) T20Germany	0
ahahhaha a minha prima sabes mais de relacionamentos que eu quem diria	1
Esse Adam Peaty não nada hein ?natação	1
Per aixo ho deia!      ojuamblacartera balmonfucks	1
: a grande zebra da olimpíada até agora...	1
ASSEMBLEIA DE DEUS EM ITAUNA  SG  is out!  economia bh	0
Diário  Prof.Rute Albanita  is out!  jn economia	0
Berlusconi vegano e animalista: salva cinque raptor per Pasqua  [meme Brambilla ] 	1
Tiroteio na frente de casa! Me sinto tão segura morando no Sarandi... 	1
porque o comunismo ou o socialismo, funcionam que é uma maravilha. Da até orgulho. ACORDA BRASIL. 	1
Legal que a Joelma arruma um guitarrista IGUALZINHO ao Little Chimba!  WTF 	1
 Po quase novidade isso hein kkkkkkkkkkkkkkkkkkkkk 	1
Golo, caralho! Vá lá que o puto não joga nada! 	1
Proposta quer fim da cobrança deprodutos e serviços na conta de luz  economia	0
  será que é mesmo ? Eu tenho minhas dúvidas 	1
Dezenas de empresas estão comvagas abertas para estágio e trainee  economia	0
é mentira isso pois Trump domina G1 e demais noticiosos, claramente seria Capa de fosse real 	1
"5inco Minutos - BANG""  (PARÓDIA) ♫  via  - ri mt pouco, mto mesmo....  meudeus BANGno5incoMinutos"""	1
NOTÍCIA URGENTE > Na Cesuca, Ulbra, PUC, Unisinos, Feevale e FAPA só estudam os ricos, pois é faculdade privada. 	1
acho massa a pessoa aconselhando sobre o que nem ela faz kkkkkkkkkkkkkkkkkkkk 	1
Na moral, amoooooo o Flamengo...  QueTiminho Galooooo ViradaLinda !!!!!!!!!! 󾮞󾮞󾮞󾮞󾮞󾮞󾮞󾮞	1
Vocês tão zoando a Inglaterra? Como se a fase da seleção da CBF fosse boa. 	1
essa não conta. Era feita por gente simpática. 	1
Que justo ter unha nai así macho 	1
Não entendo o porquê eu, com cada dia mais surpreendente e aventurado que o outro,  não consegue vencer uma simples insônia!  Tedio	1
Como assim? O governador Alckmin garantiu que não existe falta de água! Que coisa feia mentir assim Globo..   	1
Não podia haver um nome mais apropriado para a PEC da redução da maioridade penal: PEC171.   	1
Mas pq se o país estava em pleno crescimento menos de um ano atrás?  	1
As multidões nas ruas do país hoje eram para o aniversário da Madonna? tenso 	1
Pozzetto è sempre Pozzettoanni80 battuta film battute cult cinema cinepanettoni sischerza  memeita	1
E viva ao natal, que este está a ser o melhor!! 	1
Muito bonito!  	1
Moody's: retomada do PIB pode ser interrompida por crise política  Economia	0
Projeto do Ipea concede duas bolsas pesquisa nas áreas de Estatística / Matemática e Economia. Prazo até 2/6: 	0
José Serra vai ser homenageado no CN por sua atuação nas privatizações no governo FHC. 	1
  Cuidado q eu sou buesda engraçada ahah  darciwouldbeproud	1
preti sempre simpatico.  isola	1
@jufranzen_d yo si soy la mejor o/ arrego ate no fim do mundo kkkkkkkkkkkkkkkkkkkkkkkkk	1
Oper. Lava Jato tem delações d políticos q dizem q as contas estão ok pelo STE. Melhor investigar aí pq os políticos são inocentes 	1
Minha internet é tão boa que até o gif para na metade pra aplaudir a velocidade.  VeloxFail	1
