text,prediction,pred_gpt4o
"Agora que tenho 1000 seguidores, minha vida finalmente ganhou um significado    TwitteiroAnonimoReidoSdv",1,ironia
Pesquisa: diferença de 800% em medicamentos no interior e litoral de SP  economia,0,n_ironia
  hahahahahah me voy a dormir q te peteeen,1,ironia
Consumidor que pagar à vista terá direito a desconto  Economia,0,n_ironia
Hahaha a notícia de DiCaprio em Trancoso foi uma bela barriga ,1,ironia
"Bolsa sobe, dólar recua, agência retira nota negativa da Petrobras: o país praticamente à beira do caos. ",1,ironia
"Minha mãe: eu vou ironizar, vou fazer uma ironia ironizar ",1,n_ironia
"diálogo ontem com a mae: ""ta mas não o fim do mundo não ir pra praia"" e eu: ""é sim, amanhã"". após um loading, ela tem um ataque de risos",1,ironia
"De fome não morro! icicestparis precosiguaisaobrasil   Paris,… ",1,ironia
 ohhh clarinhaaaa TadinhAA ela é uma pessoa tão boa rs ,1,ironia
"AVISO IMPORTANTE... TEXTO CARREGADO DE  . Assunto da semana... Maju, a Globeleza que foi... ",1,n_ironia
"City x Real, e eu estarei assistindo a cadeira de futebol. Que  da vida né",1,ironia
asi de simple o mas claro? feliztarde poeima Ironía buenastardes Indirectas,1,n_ironia
 incrível como você é admirado... ,1,ironia
"Meu Deus, que papo esquerdalhaaaaa. Nosssaaaa  ",1,ironia
Que alegria dormir 6 horitas  muerte,1,ironia
Mais uma vez a arbitragem está ajudando o Corinthians. Quer vergonha! ,1,ironia
 mais um golpista! ,1,n_ironia
JBS pagará R$ 10 mi em indenizações a demitidos em 2011  Economia,0,n_ironia
Se fechou a Paulista tem que mandar a PM tirar  ,1,n_ironia
"VC não lembra que as indicações do CoLLor foram todas anuladas""?  """,1,n_ironia
Mais um email do stor...com boas noticias...,1,ironia
Precioso cable delante fachada San Felipe Neri      .twitter.com/sHOUKkE7Nm,1,n_ironia
"tem que usar a hastag ... Se não, a galera pensará sempre que é real hahahahaha",1,ironia
 Imagina! Legal bagarai  ficou tão decepcionado quanto eu na hora que ela vira pendrive?,1,ironia
periodismo serio.  humor,1,ironia
... e silenzio! justice italia  life nofear kotiomkin fabriziogilli true instapic ,1,n_ironia
Petróleo recua com atenção do mercado voltada aos estoques dos EUA economia: O Brasil precisa processar sua matéria prima e  exportar manu?,0,n_ironia
Agripino - prefeito biônico da época da ditadura - falando de democracia na  ,1,ironia
"Pra mim ultrapassou as estatística ,mais vamos lá contagem regressiva ...  Hahaha ? Aaah é o destino ...",1,n_ironia
tou mesmo preparado para ir para o secundário ,1,ironia
Adoro como o atendimento por telefone da  é eficiente . Será que vou esperar 56min q nem na última vez? ¬¬,1,ironia
Senado pode acelerar tramitação da reforma trabalhista  notícias Economia ,0,n_ironia
" Tem que botar tag agora, cara. Tipo   AgoraSouMengão EBMPica SmurfForever",1,n_ironia
vi a previsão do tempo aqui e: QUE LEGAL QUE VAI CHOVER O FDS INTEIRO NÃO É MESMO? ,1,ironia
 nunca na vida amor  ,1,n_ironia
Juros médios do Cartão de Crédito caem para 345% ao ano em Maio → Economia Crédito MasterCard Visa JornaldosCanyons JdC,0,ironia
que maldadeee.. acho que nenhum torcedor do Bahia torce por isso ,1,ironia
Excelente  que manera de fabricar N°1 !!!     CamaIncendiada,1,ironia
Pezão reúne deputados para discutircontrapartidas do Plano Fiscal  economia,0,n_ironia
"OMD?! Demorei tantooo para chegar lá, que difícil, que vergonha, não acham?!  sarcasmo",1,ironia
-Hai presente?-No e  manco tanto futuro -cit instagood instagram sorriso  tags… ,1,n_ironia
"Por isso sou contra o desarmamento, veja o aposentado que matou o jovem de 18 anos. Se não fosse a arma como ele ia se defender. ",1,ironia
Amo perder o sono...  ,1,ironia
Que bonito todo. ,1,ironia
premiere com comentaristas bem imparciais !!!  (risos),1,ironia
Eu adoro a minha dt ,1,n_ironia
"É possível pular apreciação da reforma trabalhista na CCJ, diz Eunício  economia",0,n_ironia
Domingo divertidísimo. Ironía,1,ironia
O ambiente ca em casa esta  ,1,n_ironia
Aí aí esses sentimentos são tão verdadeira que me inspiram a alma! ,1,ironia
 é um cara genial. ,1,n_ironia
"adoro o facto de todos os amores perfeitos"" só serem entre pessoas bonitas """,1,ironia
"Alguém precisa inventar DLC pra essa vida. Ela tá muito fácil, ainda mais para quem mora no Brasil. ",1,ironia
Poxa o ubber tbm podia melhorar né humor  ,1,ironia
A ONU É UMA ORGANIZAÇÃO DO ANTICRISTO PAZ MUNDIAL É COISA DO DEMÔNIO ESPALHE P/ TDS OS GRUPOS DE WHATSAPP  ,1,n_ironia
pq será né?  Seleção?? Acho q não né...,1,ironia
Só gente boa!  podepiorar cunhatemqueperderomandatoFavoritos na Câmara têm pendências judiciais... ,1,ironia
Parabéns à  por toda transparência ao passar informações de falhas nas linhas dos trens.  ,1,ironia
O LFV a falar sobre seriedade e credibilidade no restaurante onde enche e barriga aos árbitros  KitEusébio,1,ironia
"quando for 23:59 ouça ""um minuto para o fim do mundo"" — me obrigue http://t.co/TFlYpq4A",1,ironia
  Feixista! Aixo es el que ets! Thas d'espanyolitzar!!! ,1,n_ironia
Como é bom. ,1,n_ironia
"Claro que somos levados ao colo, . Não nos podemos cansar. Temos de festejar no MARQUÊS!  CarregaBenfica",1,ironia
sabemos bem quem é o dono da verdade... maior que o palmeiras e que a sua torcida... ,1,ironia
Ta brutal,1,n_ironia
Confira as melhores imagens da missão do SebraeMA aos parques eólicos instalados na Rota das Emoções   Economia ,0,n_ironia
"Menos eu, que além de lindo, simpático, didático, e humilde, sou um ÓTIMO jogador.humor  autoraio",1,ironia
"Pensei que tinham proibido as pessoas de portarem facas. Aumentem a pena para quem portar faca na praia, quem sabe resolve.  ",1,ironia
Hoje eu afirmo que faço parte da comunidade de software livre. Viva_Linuxas estou fazendo esse Tweet do iOS hahaha ,1,ironia
"Desesperado uma ova. Dunga tá tranquilo, Thiago Silva não sabe de nada, pênalti é loteria e nóis é penta.",1,ironia
"Sua idade esta na sua cabeça, q aposentar q nada. Vamos trabalhar. 80 são os novos 40. ",1,ironia
Pagamento dos servidores do Estado acontece nesta terça (30) e quarta (31)  Economia ,0,n_ironia
A mais gira!!   ,1,n_ironia
Nem queria tanta companhia para ir ao ginásio ,1,ironia
Esperar ajuda dos outros pra morrer com competencia  ,1,ironia
Meirelles: Previdência pode ser aprovada ainda este mês no Congresso  economia,0,n_ironia
Dominos Pizza anuncia boicote à JBS em nome de transparência e ética  economia,0,n_ironia
Foto: safado-romantico1: safadeza safado  amor ,1,n_ironia
 aff não fala da mc Melody melhor falsete do mundo rainha suprema do agudo ,1,ironia
Um governo que quer acabar com o crack mas não tem coragem para vetar comercial de cerveja. DuasDeCinco Criolo,1,ironia
Minha cabeça tá dando nó... ElectionDay globonews e globo são de direita ou de esquerda....Twitter tá divididinho...  globocoitada,1,ironia
Esses comunistas estão por toda parte! Cuba socialismo Rússia mortadela Pt… ,1,ironia
Se você não quer namorar comigo tudo bem... Eu te crio no The Sims ironic  éoamor,1,ironia
"O mano disse que 23:59 ele vai começar catar ""Um Minuto pro fim do mundo "" ele é louuuuuko u.u",1,n_ironia
Economia: Petrobras quita dívida de US$ 500 milhões com Citibank  ,0,n_ironia
"Se o Atl. Nacional ganhar a Sula, ele joga contra seus reservas na Recopa? humor  risada",1,ironia
Quase nem trava kk  12hNerds,1,ironia
Eu abri mao de ti e deixei-te ser feliz sem mim!  HO,1,ironia
 Gostaria de saber se tem alguma ticket especial que pode sentar no meio do banco e ñ deixar ngm mais sentar :D ,1,ironia
Acabou de sair lá no  Corre que ainda dá tempo de ficar criativo hoje  :) ,1,n_ironia
Feliz dia mundial da terra  ,1,n_ironia
Ofertas tamanho Família para o seu final de semana. economia qualidade vempraca Colatusso,0,n_ironia
"Valha, tão nova pra ser estressadaEstresse? Minha filha, você não sabe o que é estresse não ",1,ironia
A economía galega crece menos que a media estatal no primeiro trimestre  vía ,0,n_ironia
"estrupou beleza, mas porte de arma é insaseitavel! A cada dia melhor ",1,ironia
Sei tanta coisa sobre eles ,1,n_ironia
Talvez seja isso mesmo aham tá bom lindão  ,1,ironia
O amor promete aquecer a economia   .twitter.com/Lq1f9bot0G,0,ironia
 Sério ou ?,1,n_ironia
"Demanda por transporte aéreo doméstico sobe 2,7% em abril, diz Anac   economia",0,n_ironia
"Ela só queria um abraço, Marcos! Seu monstro! Tadinha!  bbb17  bomavisar",1,ironia
tem que vir com ,1,n_ironia
Tsipras negociando? Então podemos ficar tranquilas.  ,1,ironia
"puxa, como vou viver numa cidade onde pixação virou crime? ",1,ironia
Ainda bem que surgiu a oposição do Fábio Jr. no Grêmio. Agora vai.,1,ironia
"Bem, liguei pra ele e o mesmo disse que não quer falar, to com medo será que ele ja me viu pelado??  BrincandoComAPiada haha",1,n_ironia
E que grande  o comercial da  veicular durante o doc do O.J. justamente quando citam os conflitos raciais de 65/68 em L.A.,1,ironia
To beu contente de a escola começar segunda feira :D,1,ironia
A Zenaldolândia deve ser um lugar bem legal mesmo. Só nunca passei por lá. ,1,ironia
godimento  e cultura con  tsff28 festival igerstrieste Trieste… ,1,n_ironia
 Nada... ,1,n_ironia
So recebi por agora 2 prendas uhu que diversão!! ,1,ironia
[Economía] Empresarios de Amcham anuncian evento continental. ,0,n_ironia
o povo não entende as  primo,1,n_ironia
Existe coisa melhor que ficar na fila pra entrar no trabalho!?!? ,1,ironia
Que sorpresa  Ironía ,1,ironia
tadinho dos Steelers  tudopelaNFL ,1,ironia
Economia.Comissão do Senado aprova texto base da reforma trabalhista ,0,n_ironia
"Pois é. Pois é. Não é possível que esses estudantes bestas queiram mesmo comida, Educação e segurança. ",1,ironia
PossoMais evitar o consumismo desenfreado que destrói o mundo a cada dia. Até por que o meu cartão de crédito estourou ,1,ironia
liganoeimaxx2 Porra UCL ta comprada pros espanhóis em? 5 pênaltis pra eles ja kkkk ,1,ironia
coxa ,1,n_ironia
Uma coisa bem desenvolvida em seriados: os flashbacks de OUaT. ,1,ironia
uééééé.... mas não era o PT q queria acabar com a lavajato???... ,1,ironia
"Painel 2 - Empreendorismo, Inovação e Desenvolvimento da Economia do Mar Business2Sea2017",0,n_ironia
"Mimimi, só falam de política na véspera da eleição"" ""Mimimi, a eleição já foi, chega de falar disso""  MentePequena""",1,ironia
 BONITA  ,1,n_ironia
Da hora. Agora elas durarão apenas um dia inteiro.  brinks “: baterias de smartphones poderão ter o dobro da capacidade,1,ironia
Intenção de consumo em Vitória atinge menor nível da história do índice  notícias Economia ,0,n_ironia
Engraçado como Deus tem chamado para todos e o melhor da terra! Mas existe muito fiéis seguidores passando fome!pense Deus ,1,ironia
"  vini sendo... vini, engraçado que ele tá sendo sarcástico falando de ",1,n_ironia
obrigado por padronizarem o Balanço Patrimonial… tá facilitando bastante minha vida ,1,ironia
Tanta gente passando fome e os cara incentivando chuva de arroz... SuperStar ,1,ironia
"Para isto eles"" têm tempo!     rindodanossacara""",1,ironia
Essa nossa ilha das bananas de ferro chamada República dos Estados Unidos do Brasil  JoséSerra,1,ironia
Me encanta no poder dormir ironía,1,ironia
Naaaaao ele anda de ônibus? Não pode que absurdo ,1,ironia
Bradesco lança banco digital voltado ao público jovem  NoticiasTecnologiaDOL Economia,0,n_ironia
Esses Golpistas não podem falar nada.  Os golpes desses direitistas coxinhas são tão sujos quanto os nossos  ,1,ironia
 eu estou vendo a plaquinha  erguida atrás da sua cabeça.,1,n_ironia
Hj disse a minha mãe qe queria ir pa casa dos segredos ela estava com uma faca na mão não foi a toa acho  ahahha,1,ironia
   Vão à Ericeira ao Jogo da Bola é isso. ,1,n_ironia
"EXCLUSIVO: para evitar impeachment, Lula tenta convencer Temer a escrever outra carta para Dilma",1,ironia
"Junte-se a nossa lista de discussão para se manter atualizado sobre TV, Vídeo e OTT.  Economía",0,n_ironia
" eu também, lá e cá.   é o DT do meu time sair pro time da minha simpatia no . Espero essa troca toda dar na mudança certa",1,n_ironia
CBF confirma realização da última rodada! Parabéns. ,1,ironia
Em 31 estados os premiums do Obamacare subiram dois dígitos e pessoal de esquerda aplaude ,1,ironia
"Bandido bom,  nao é bandido morto nao!  MAGINA,  QUE ISSO!!!  !  Passagem pela policia?  -Varias!  A... ",1,ironia
Belpaese che vai... necessità che trovicorvorosso vignette  ,1,n_ironia
Absurdo! Faltando água em SP e essa PTralha inaugurando bomba no nordeste.  ,1,ironia
"Aí você pensa: ""O que vestir no fim do mundo?"" e encontra um sites que vende roupas para o fim do mundo -q",1,ironia
Relaxa. O melhor piloto da Formula 1 depois do Ayrton Senna tá lá.   Treta,1,ironia
"Amo literatura, amo mesmo!  ebooks. literatura. . noçõesbásicas. entretenimento. ",1,ironia
Um pouquinho da nossa igualdade mundial.  malandragem jeitinhobrasileiro ,1,ironia
ECONOMIA: Senado aprova medida que prorroga isenção de taxa sobre transporte fluvial de mercadorias,0,n_ironia
Sim ando numa escola de música k são mais três disciplinas pra estudar né como tenho poucas ,1,ironia
ESSA LAVA JATO SO FAZ MERDA NENÃO?????,1,ironia
Evolução nítida no futebol.  Há muitos anos não nos livravamos do rebaixamento com tanta antecedência. ,1,ironia
Se a mulher é xingada pela homem ou descriminada todos se mordem e agora pq quando o nego é descriminado todos n se mordem tb? ,1,n_ironia
KKK ATÉ AS MINA SAO MAIS MACHO Q OS CARA Q SENTA E CHORA NO CAMPO KKK PQ CHORAR E MOSTRAR FRAQUEZA é COISA D VIADO KKK ,1,ironia
Se'n diu   ,1,n_ironia
"A vida é cheia de , havia acabado de instalar esse pendurador no quarto qndo fui pra cozinha e… ",1,n_ironia
Nem vou dormir essa semana aguardando o Feedback ,1,ironia
Comissão Europeia recomenda saída de Portugal do Procedimento por Défice Excessivo. economia UE défice,0,n_ironia
AGRONEGÓCIO ajuda tirar o Brasil do buraco e PIB cresce 1% em 2017 Economia ,0,n_ironia
"  Ainda bem, poderia ter colocado a hashtag  ou sqn pra ficar evidente ",1,ironia
"RT @MatheusFlip92: @japinhaf_ Não viaja mew, ta começando o fim do mundo. kkkkkkkkkkkkkkkkkkkk",1,ironia
"Renan Calheiros, meu malvado favorito. ",1,ironia
Na China se da prisão perpétua p políticos q cometem corrupção! ParabénsBrasil  ,1,ironia
. Tô vendo mais a cara do Sérgio Moro durante o dia que a da minha própria mulher. Ohhh vida. semnoção,1,ironia
"  É,  ... Vc ñ deve confiar muito na mídia marrom não... Todo cuidado é pouco. ",1,n_ironia
"Economia A exigência de 25 anos de contribuição, como prevê a reforma da Previdência, vai dificultar a... ",0,n_ironia
Será que o Papa vai beatificar Lula ? Merece heim ,1,ironia
"Amanhã Volto a rotina, cara to morrendo de Saudades de Nazaré!!! ",1,ironia
Absurdo total!!! Hehe ,1,ironia
    É gravada pra ela ter tempo de ir pra casa ouvir o panelaço. ,1,ironia
quem escreveu a notícia da semana passada já acabou o estágio e agora ng sabe mesmo o q se passou.  ,1,ironia
Vaaaaaa una altra bona notícia ,1,ironia
domingo eu na tmp fazendo almoço e em maratona de matemática olha n pode melhorar ,1,ironia
Temos mesmo um bom serviço de saude ,1,ironia
Iniziamo la settimana con .colloquio job lavoro battipaglia Salerno linguaInglese duepuntiscuola,1,n_ironia
 parece até time brasileiro trocando passes!!!!! kkkkkk ,1,ironia
Sem Facebook? Fazia tempo que não se trabalhava tanto. Deve ser jogada do Estado para o povo produzir. ,1,ironia
 a esperança é a última a morrer ,1,n_ironia
" e as ites"" da vida?!Fica difícil trabalhar....""",1,n_ironia
Dio esiste e vive a Bruxelles  2014 FrancoisDamiens ,1,n_ironia
"Como o mercado cria empregos, e como o estado os destróiEmprego Desemprego Trabalho Economia Brasil",0,ironia
Ivete tendo uma síncope com a troca de nomes. Claudinha não! kkkkkkk  TheVoiceKids Nãoéamamãe,1,n_ironia
"Opções para o ""fim do mundo"" vão de bunker a bar: O suposto fim do mundo profetizado pelos maias levareaacute; n... http://t.co/fn0GpPxu",1,n_ironia
 ahah claro que sim  acima de  tudo XD,1,ironia
"Saques do FGTS: Caixa deve atender 7,5 mi de trabalhadores no sábado  economia",0,n_ironia
"Tá serto"". Errado é ele que não compra uma cadeira, não compra material, não compra remédios  """,1,ironia
Que injustiça com o quase gol  ,1,ironia
" desde 35.000 a 75.000 euros x assessor/a ...paga el poble, no passa rés... """,1,ironia
Economia António Vitorino defende redução do número de funcionários públicos  Em ,0,n_ironia
E SP é gigante! Chuva geral na cidade. É isso significa que o metrô estará uma belezinha logo logo ,1,ironia
"No século 21, um CEO de Execução que sucede um CEO Visionário cada vez mais pode ser a escolha errada""  economia""",0,n_ironia
Aquele comentário muito bonito! ,1,ironia
Diego Escosteguy vai mandar repórter investigar os casos Miriam Dutra/FHC e Serra/funcionária fantasma? ,1,ironia
Economia Saiba se seu veículo terá direito a recall ,0,n_ironia
ué... mas a corrupção não começou agora?  ,1,ironia
A bancada evangelica n curtiu seu comentário ,1,n_ironia
Os funcionários do Subway trabalham com uma alegria contagiante ,1,ironia
"Economia Autoridade da Concorrência preocupada"" com aumento de comissões bancárias  Em """,0,n_ironia
"Economia.Planos de saúde sofrem aumento de até 13,55% ",0,n_ironia
Que maravilha de dia! Deus existe e ele me ama muito :D ,1,ironia
"olha o sujeito, parece um crente da igreja Assembléia de Deus  ",1,n_ironia
Causa esubero cedo sfiga a costo zero!!!buongiornoFFVergognatiEuropa  colpadellestelle,1,ironia
a presidenta mais inocenta que já houve na Terra. Compraram esses tais aliados sem ela saber. Aposto. ,1,ironia
Europa tra coraggio e...corvorosso vignette  ,1,n_ironia
ECONOMIA: Receita Federal abre consulta ao primeiro lote de restituição do Imposto de Renda nesta quinta-feira,0,n_ironia
"Poderá ser apenas o início da derrocada final da economia, graças aos comportamentos irresponsáveis de Janot e Fachin.",0,n_ironia
Quando o Aécio assume? é logo após a votação?  brincs zuêra,1,ironia
Economia: Governo Central têm melhor resultado para abril em 3 anos ,0,n_ironia
"O Mundo não terminou, então, o fim mês, que é o fim do mundo em parcelas, vou de mega da virada, alguém vai acertar, E esse cara sou eu!!",1,n_ironia
É hora de financiar a casa própria?Economia Financas,0,n_ironia
Pior que FHC? É isso mesmo? Confere produção??  ptfail forapt fhcsalvouptfodeu ,1,ironia
adoro quando carrega os snaps de todo mundo menos das pessoas que eu quero ,1,ironia
Faustão ta de vermelho criticando Michel Temer. Coincidência? ,1,ironia
ooooooh menino bonitoooooo ,1,ironia
 Nem reparei nesta piada. Hoje estás PRO meu ,1,ironia
"Por fim, vem o critério Consistência"". A consistência da aposta na formação do Benfica é deveras superior à do Sporting """,1,ironia
"Emília mostrando quem é a manipuladora, usando propositalmente a camiseta do boy como afronte.   ",1,ironia
Barça emprestou o Montoya a Inter mas não deu muito certo. Os laterais da Inter são tao espetaculares que ele quase não jogou. ,1,ironia
Analistas veem risco de agências voltarem a rebaixar nota…  NoticiasBrasilDOL Economia RBATV CidadeContraoCrime,0,n_ironia
 Onde é a sede da Lusa? Estou na sede do Flumilixo! Estou no mesmo hotel do pai de um muleke deles um tal de Felipe! ,1,ironia
"Buá buá buá, me encanta la gente que le importa solo su ombligo y que el mundo se cague. ",1,ironia
Torcida do São Paulo gritando Michel ?  FalaTorcedor LibertadoresFoxSports,1,n_ironia
Quero ser juíza federal. Admitir que roubei milhões de um tribunal (TRF) e continuar dirigindo carro penhorado pela justiça. Tsc. ,1,ironia
Ironia é loja de roupa fazendo venda casada ,1,ironia
Ya sinto me importante quando não me respondem ,1,ironia
"aula de português , não creio ?// aula pra mim , é onde tem lição não a onde a gente faz o que ?/// ",1,ironia
"Bolsonaro n é racista, ele até fala com negros... ",1,ironia
Aí temos que esperar até 21 de Maio. Isso ae Brasil! Que orgulho hein! ,1,ironia
Bonita semana me espera ,1,ironia
Lei da gorjeta agrada garçons e patrões  economia,0,n_ironia
Economia.Acordo adia leitura da reforma trabalhista em comissão ,0,n_ironia
tu não acha que seria desumano não salvar o rival??? ,1,ironia
"Engraçado, eu não fico lendo por aí que a nacionalidade do imperador Júlio César é italiana. ",1,ironia
"Irônico é o Eu verídico"" ser o maior mentiroso d todos os tempos KKKKKKKKKKK  XuxaNaRecord WhereAreUNowVMA TeenChoiceAwards """,1,ironia
 porra! Ja te falei...coloca  pra eu entender hahaha,1,n_ironia
Congresso promulga lei que garante saque das contas inativas do FGTS  Economia ,0,n_ironia
Maria Silvia Bastos Marques pede demissão da presidência do BNDES  notícias Economia ,0,n_ironia
pelopo2 — 10 es mi amor   ,1,n_ironia
as pessoas estão cada vez mais amáveis com os demais. .,1,ironia
FelizAniversarioLuaBlanco uma das 100 maiores brasileiras de todos os tempos  O que um fã-clube nao faz né?!!,1,ironia
Madeira com grande procura na Feira do Livro em Lisboa  cultura destaque economia,0,n_ironia
Parabéns.... diretoria e técnico...: vamos longe assim... ,1,ironia
"Antigamente era tudo FDP, ainda bem que o Brasil mudou.  | Filha da Puta"" - Ultraje a Rigor ♫ """,1,ironia
"Esperando um e-mail com NF de cliente, me passa um spam com uma NF em anexo. O detalhe: fazia uns 6 meses que não recebia spam. ",1,ironia
" ahhh, a Ditadura da informação, melhor repassar , pois o vizinho do primo do amigo disse que é... ",1,ironia
Ao menos o ~fim do mundo~ trouxe essa chuvinha boa..,1,ironia
"Consegui sujar minha blusa branca nova de molho vermelho, parabéns para mim  ",1,ironia
"O q é bom a vida dá, p dps poder roubar e morrer de rir ao ver q vc n tem mais...  tópaz bandatópaz ",1,ironia
Que despertares mas lindos tengo Ironía ,1,ironia
